benchmark_idx,corpus,corpus_type,label,human,llm,human_raw,llm_raw,in_scope
3,climate,climate,economic_present,yes,yes,yes,yes,True
3,climate,climate,deservingness_present,no,no,no,no,True
3,climate,climate,responsibility_present,yes,yes,yes,yes,True
3,climate,climate,securitization_present,no,yes,no,yes,True
3,climate,climate,othering_present,no,no,no,no,True
3,climate,climate,agency_present,yes,yes,yes,yes,True
3,climate,climate,humanitarian_present,,,,,False
3,climate,climate,security_present,,,,,False
3,climate,climate,policy_present,,,,,False
3,climate,climate,scientific_present,yes,yes,yes,yes,True
3,climate,climate,crisis_present,no,no,No,no,True
3,climate,climate,solutions_present,yes,yes,yes,yes,True
3,climate,climate,victim_present,no,no,no,no,True
3,climate,climate,skepticism_present,no,no,no,no,True
4,climate,climate,conflict_present,yes,yes,yes,yes,True
4,climate,climate,human_interest_present,no,no,no,no,True
4,climate,climate,economic_present,yes,yes,Yes,yes,True
4,climate,climate,deservingness_present,no,no,no,no,True
4,climate,climate,responsibility_present,yes,yes,yes,yes,True
4,climate,climate,securitization_present,no,yes,no,yes,True
4,climate,climate,othering_present,no,no,no,no,True
4,climate,climate,agency_present,yes,yes,yes,yes,True
4,climate,climate,humanitarian_present,,,,,False
4,climate,climate,security_present,,,,,False
4,climate,climate,policy_present,,,,,False
4,climate,climate,scientific_present,no,no,no,no,True
4,climate,climate,crisis_present,yes,yes,yes,yes,True
4,climate,climate,solutions_present,no,yes,no,yes,True
4,climate,climate,victim_present,no,no,no,no,True
4,climate,climate,skepticism_present,no,yes,no,yes,True
5,climate,climate,conflict_present,yes,yes,yes,yes,True
5,climate,climate,human_interest_present,no,no,no,no,True
5,climate,climate,economic_present,yes,yes,yes,yes,True
5,climate,climate,deservingness_present,no,no,no,no,True
5,climate,climate,responsibility_present,no,yes,no,yes,True
5,climate,climate,securitization_present,no,no,no,no,True
5,climate,climate,othering_present,no,no,no,no,True
5,climate,climate,agency_present,yes,yes,yes,yes,True
5,climate,climate,humanitarian_present,,,,,False
5,climate,climate,security_present,,,,,False
5,climate,climate,policy_present,,,,,False
5,climate,climate,scientific_present,no,yes,no,yes,True
5,climate,climate,crisis_present,no,no,no,no,True
5,climate,climate,solutions_present,yes,yes,yes,yes,True
5,climate,climate,victim_present,no,no,no,no,True
5,climate,climate,skepticism_present,no,yes,no,yes,True
6,climate,climate,conflict_present,yes,yes,yes,yes,True
6,climate,climate,human_interest_present,no,no,no,no,True
6,climate,climate,economic_present,yes,yes,yes,yes,True
6,climate,climate,deservingness_present,no,no,no,no,True
6,climate,climate,responsibility_present,yes,yes,yes,yes,True
6,climate,climate,securitization_present,no,no,no,no,True
6,climate,climate,othering_present,no,no,no,no,True
6,climate,climate,agency_present,yes,yes,yes,yes,True
6,climate,climate,humanitarian_present,,,,,False
6,climate,climate,security_present,,,,,False
6,climate,climate,policy_present,,,,,False
6,climate,climate,scientific_present,no,yes,no,yes,True
6,climate,climate,crisis_present,yes,yes,yes,yes,True
6,climate,climate,solutions_present,yes,yes,yes,yes,True
6,climate,climate,victim_present,no,no,no,no,True
6,climate,climate,skepticism_present,no,no,no,no,True
7,climate,climate,conflict_present,yes,yes,yes,yes,True
7,climate,climate,human_interest_present,yes,yes,yes,yes,True
7,climate,climate,economic_present,no,no,no,no,True
7,climate,climate,deservingness_present,no,yes,no,yes,True
7,climate,climate,responsibility_present,yes,yes,yes,yes,True
7,climate,climate,securitization_present,no,no,no,no,True
7,climate,climate,othering_present,yes,yes,yes,yes,True
7,climate,climate,agency_present,yes,yes,yes,yes,True
7,climate,climate,humanitarian_present,,,,,False
7,climate,climate,security_present,,,,,False
7,climate,climate,policy_present,,,,,False
7,climate,climate,scientific_present,yes,yes,yes,yes,True
7,climate,climate,crisis_present,yes,yes,yes,yes,True
7,climate,climate,solutions_present,yes,yes,yes,yes,True
7,climate,climate,victim_present,no,no,no,no,True
7,climate,climate,skepticism_present,no,no,no,no,True
8,climate,climate,conflict_present,no,no,no,no,True
8,climate,climate,human_interest_present,yes,yes,Yes,yes,True
8,climate,climate,economic_present,yes,yes,yes,yes,True
8,climate,climate,deservingness_present,no,no,no,no,True
8,climate,climate,responsibility_present,yes,yes,yes,yes,True
8,climate,climate,securitization_present,no,yes,no,yes,True
8,climate,climate,othering_present,no,no,no,no,True
8,climate,climate,agency_present,yes,yes,yes,yes,True
8,climate,climate,humanitarian_present,,,,,False
8,climate,climate,security_present,,,,,False
8,climate,climate,policy_present,,,,,False
8,climate,climate,scientific_present,yes,yes,yes,yes,True
8,climate,climate,crisis_present,yes,yes,yes,yes,True
8,climate,climate,solutions_present,yes,yes,yes,yes,True
8,climate,climate,victim_present,yes,yes,yes,yes,True
8,climate,climate,skepticism_present,no,no,no,no,True
9,climate,climate,conflict_present,yes,yes,yes,yes,True
9,climate,climate,human_interest_present,no,no,no,no,True
9,climate,climate,economic_present,yes,yes,yes,yes,True
9,climate,climate,deservingness_present,no,no,no,no,True
9,climate,climate,responsibility_present,yes,yes,yes,yes,True
9,climate,climate,securitization_present,no,no,no,no,True
9,climate,climate,othering_present,no,yes,no,yes,True
9,climate,climate,agency_present,yes,yes,yes,yes,True
9,climate,climate,humanitarian_present,,,,,False
9,climate,climate,security_present,,,,,False
9,climate,climate,policy_present,,,,,False
9,climate,climate,scientific_present,no,yes,no,yes,True
9,climate,climate,crisis_present,no,no,no,no,True
9,climate,climate,solutions_present,yes,yes,yes,yes,True
9,climate,climate,victim_present,no,no,no,no,True
9,climate,climate,skepticism_present,no,yes,no,yes,True
10,climate,climate,conflict_present,yes,yes,yes,yes,True
10,climate,climate,human_interest_present,yes,yes,yes,yes,True
10,climate,climate,economic_present,no,no,no,no,True
10,climate,climate,deservingness_present,no,no,no,no,True
10,climate,climate,responsibility_present,yes,yes,yes,yes,True
10,climate,climate,securitization_present,no,yes,no,yes,True
10,climate,climate,othering_present,no,no,no,no,True
10,climate,climate,agency_present,yes,yes,yes,yes,True
10,climate,climate,humanitarian_present,,,,,False
10,climate,climate,security_present,,,,,False
10,climate,climate,policy_present,,,,,False
10,climate,climate,scientific_present,yes,yes,yes,yes,True
10,climate,climate,crisis_present,yes,yes,yes,yes,True
10,climate,climate,solutions_present,yes,no,yes,no,True
10,climate,climate,victim_present,yes,yes,yes,yes,True
10,climate,climate,skepticism_present,no,yes,no,yes,True
11,climate,climate,conflict_present,yes,yes,yes,yes,True
11,climate,climate,human_interest_present,no,no,no,no,True
11,climate,climate,economic_present,no,no,no,no,True
11,climate,climate,deservingness_present,no,no,no,no,True
11,climate,climate,responsibility_present,no,yes,no,yes,True
11,climate,climate,securitization_present,no,no,no,no,True
11,climate,climate,othering_present,no,yes,no,yes,True
11,climate,climate,agency_present,yes,yes,yes,yes,True
11,climate,climate,humanitarian_present,,,,,False
11,climate,climate,security_present,,,,,False
11,climate,climate,policy_present,,,,,False
11,climate,climate,scientific_present,yes,yes,yes,yes,True
11,climate,climate,crisis_present,no,no,no,no,True
11,climate,climate,solutions_present,no,no,no,no,True
11,climate,climate,victim_present,no,no,no,no,True
11,climate,climate,skepticism_present,no,yes,no,yes,True
12,climate,climate,conflict_present,no,yes,no,yes,True
12,climate,climate,human_interest_present,no,no,no,no,True
12,climate,climate,economic_present,yes,yes,yes,yes,True
12,climate,climate,deservingness_present,no,no,no,no,True
12,climate,climate,responsibility_present,yes,yes,yes,yes,True
12,climate,climate,securitization_present,yes,yes,yes,yes,True
12,climate,climate,othering_present,no,no,no,no,True
12,climate,climate,agency_present,yes,yes,yes,yes,True
12,climate,climate,humanitarian_present,,,,,False
12,climate,climate,security_present,,,,,False
12,climate,climate,policy_present,,,,,False
12,climate,climate,scientific_present,yes,yes,yes,yes,True
12,climate,climate,crisis_present,yes,yes,yes,yes,True
12,climate,climate,solutions_present,yes,yes,yes,yes,True
12,climate,climate,victim_present,no,no,no,no,True
12,climate,climate,skepticism_present,no,no,no,no,True
12,climate,climate,conflict_present,yes,yes,yes,yes,True
12,climate,climate,human_interest_present,no,no,no,no,True
12,climate,climate,economic_present,yes,yes,yes,yes,True
12,climate,climate,deservingness_present,no,no,no,no,True
12,climate,climate,responsibility_present,yes,yes,yes,yes,True
12,climate,climate,securitization_present,no,yes,no,yes,True
12,climate,climate,othering_present,no,no,no,no,True
12,climate,climate,agency_present,yes,yes,yes,yes,True
12,climate,climate,humanitarian_present,yes,,yes,,False
12,climate,climate,security_present,no,,no,,False
12,climate,climate,policy_present,yes,,yes,,False
12,climate,climate,scientific_present,yes,yes,yes,yes,True
12,climate,climate,crisis_present,yes,yes,yes,yes,True
12,climate,climate,solutions_present,yes,yes,yes,yes,True
12,climate,climate,victim_present,no,no,no,no,True
12,climate,climate,skepticism_present,no,no,no,no,True
13,climate,intersection,conflict_present,yes,yes,yes,yes,True
13,climate,intersection,human_interest_present,no,no,no,no,True
13,climate,intersection,economic_present,no,yes,no,yes,True
13,climate,intersection,deservingness_present,yes,no,yes,no,True
13,climate,intersection,responsibility_present,no,yes,no,yes,True
13,climate,intersection,securitization_present,no,yes,no,yes,True
13,climate,intersection,othering_present,no,yes,no,yes,True
13,climate,intersection,agency_present,no,yes,no,yes,True
13,climate,intersection,humanitarian_present,,yes,,yes,True
13,climate,intersection,security_present,,no,,no,True
13,climate,intersection,policy_present,,yes,,yes,True
13,climate,intersection,scientific_present,no,yes,no,yes,True
13,climate,intersection,crisis_present,yes,yes,Yes,yes,True
13,climate,intersection,solutions_present,no,no,no,no,True
13,climate,intersection,victim_present,no,yes,no,yes,True
13,climate,intersection,skepticism_present,no,no,no,no,True
15,climate,climate,conflict_present,no,yes,no,yes,True
15,climate,climate,human_interest_present,no,no,no,no,True
15,climate,climate,economic_present,yes,yes,yes,yes,True
15,climate,climate,deservingness_present,no,no,no,no,True
15,climate,climate,responsibility_present,yes,yes,yes,yes,True
15,climate,climate,securitization_present,no,yes,no,yes,True
15,climate,climate,othering_present,no,no,no,no,True
15,climate,climate,agency_present,yes,yes,yes,yes,True
15,climate,climate,humanitarian_present,,,,,False
15,climate,climate,security_present,,,,,False
15,climate,climate,policy_present,,,,,False
15,climate,climate,scientific_present,yes,yes,Yes,yes,True
15,climate,climate,crisis_present,yes,yes,yes,yes,True
15,climate,climate,solutions_present,yes,yes,yes,yes,True
15,climate,climate,victim_present,no,no,no,no,True
15,climate,climate,skepticism_present,no,no,no,no,True
16,climate,climate,conflict_present,yes,yes,yes,yes,True
16,climate,climate,human_interest_present,yes,no,yes,no,True
16,climate,climate,economic_present,no,yes,no,yes,True
16,climate,climate,deservingness_present,no,no,no,no,True
16,climate,climate,responsibility_present,yes,yes,yes,yes,True
16,climate,climate,securitization_present,no,no,no,no,True
16,climate,climate,othering_present,no,no,no,no,True
16,climate,climate,agency_present,yes,yes,yes,yes,True
16,climate,climate,humanitarian_present,,,,,False
16,climate,climate,security_present,,,,,False
16,climate,climate,policy_present,,,,,False
16,climate,climate,scientific_present,yes,no,yes,no,True
16,climate,climate,crisis_present,no,yes,no,yes,True
16,climate,climate,solutions_present,no,yes,no,yes,True
16,climate,climate,victim_present,no,no,no,no,True
16,climate,climate,skepticism_present,yes,yes,yes,yes,True
17,climate,climate,conflict_present,no,yes,no,yes,True
17,climate,climate,human_interest_present,no,no,no,no,True
17,climate,climate,economic_present,yes,yes,yes,yes,True
17,climate,climate,deservingness_present,no,no,no,no,True
17,climate,climate,responsibility_present,yes,yes,yes,yes,True
17,climate,climate,securitization_present,no,no,no,no,True
17,climate,climate,othering_present,no,no,no,no,True
17,climate,climate,agency_present,yes,yes,yes,yes,True
17,climate,climate,humanitarian_present,,,,,False
17,climate,climate,security_present,,,,,False
17,climate,climate,policy_present,,,,,False
17,climate,climate,scientific_present,no,no,no,no,True
17,climate,climate,crisis_present,yes,no,yes,no,True
17,climate,climate,solutions_present,yes,yes,yes,yes,True
17,climate,climate,victim_present,no,no,no,no,True
17,climate,climate,skepticism_present,no,no,no,no,True
18,climate,climate,conflict_present,yes,yes,yes,yes,True
18,climate,climate,human_interest_present,no,no,no,no,True
18,climate,climate,economic_present,yes,yes,yes,yes,True
18,climate,climate,deservingness_present,no,no,no,no,True
18,climate,climate,responsibility_present,no,yes,no,yes,True
18,climate,climate,securitization_present,no,no,no,no,True
18,climate,climate,othering_present,no,no,no,no,True
18,climate,climate,agency_present,yes,yes,yes,yes,True
18,climate,climate,humanitarian_present,,,,,False
18,climate,climate,security_present,,,,,False
18,climate,climate,policy_present,,,,,False
18,climate,climate,scientific_present,yes,yes,yes,yes,True
18,climate,climate,crisis_present,no,no,no,no,True
18,climate,climate,solutions_present,yes,yes,yes,yes,True
18,climate,climate,victim_present,no,no,no,no,True
18,climate,climate,skepticism_present,no,no,no,no,True
19,climate,climate,conflict_present,yes,yes,yes,yes,True
19,climate,climate,human_interest_present,no,no,no,no,True
19,climate,climate,economic_present,no,no,no,no,True
19,climate,climate,deservingness_present,no,no,no,no,True
19,climate,climate,responsibility_present,no,yes,no,yes,True
19,climate,climate,securitization_present,no,no,no,no,True
19,climate,climate,othering_present,no,no,no,no,True
19,climate,climate,agency_present,no,yes,no,yes,True
19,climate,climate,humanitarian_present,,,,,False
19,climate,climate,security_present,,,,,False
19,climate,climate,policy_present,,,,,False
19,climate,climate,scientific_present,yes,yes,yes,yes,True
19,climate,climate,crisis_present,no,no,no,no,True
19,climate,climate,solutions_present,no,yes,no,yes,True
19,climate,climate,victim_present,no,no,no,no,True
19,climate,climate,skepticism_present,no,no,no,no,True
20,climate,climate,conflict_present,no,yes,no,yes,True
20,climate,climate,human_interest_present,no,no,no,no,True
20,climate,climate,economic_present,no,no,no,no,True
20,climate,climate,deservingness_present,no,yes,no,yes,True
20,climate,climate,responsibility_present,yes,yes,yes,yes,True
20,climate,climate,securitization_present,no,yes,no,yes,True
20,climate,climate,othering_present,no,no,no,no,True
20,climate,climate,agency_present,yes,yes,yes,yes,True
20,climate,climate,humanitarian_present,,,,,False
20,climate,climate,security_present,,,,,False
20,climate,climate,policy_present,,,,,False
20,climate,climate,scientific_present,yes,yes,yes,yes,True
20,climate,climate,crisis_present,yes,yes,yes,yes,True
20,climate,climate,solutions_present,yes,yes,yes,yes,True
20,climate,climate,victim_present,yes,yes,yes,yes,True
20,climate,climate,skepticism_present,no,no,no,no,True
21,climate,climate,conflict_present,yes,yes,yes,yes,True
21,climate,climate,human_interest_present,yes,yes,yes,yes,True
21,climate,climate,economic_present,no,no,no,no,True
21,climate,climate,deservingness_present,yes,yes,yes,yes,True
21,climate,climate,responsibility_present,yes,yes,yes,yes,True
21,climate,climate,securitization_present,no,yes,no,yes,True
21,climate,climate,othering_present,no,no,no,no,True
21,climate,climate,agency_present,yes,yes,yes,yes,True
21,climate,climate,humanitarian_present,yes,,yes,,False
21,climate,climate,security_present,no,,no,,False
21,climate,climate,policy_present,yes,,yes,,False
21,climate,climate,scientific_present,yes,yes,yes,yes,True
21,climate,climate,crisis_present,yes,yes,yes,yes,True
21,climate,climate,solutions_present,yes,no,yes,no,True
21,climate,climate,victim_present,yes,yes,yes,yes,True
21,climate,climate,skepticism_present,no,no,no,no,True
22,climate,climate,conflict_present,no,no,no,no,True
22,climate,climate,human_interest_present,no,no,no,no,True
22,climate,climate,economic_present,yes,yes,yes,yes,True
22,climate,climate,deservingness_present,no,no,no,no,True
22,climate,climate,responsibility_present,yes,yes,yes,yes,True
22,climate,climate,securitization_present,no,yes,no,yes,True
22,climate,climate,othering_present,no,no,no,no,True
22,climate,climate,agency_present,yes,yes,yes,yes,True
22,climate,climate,humanitarian_present,,,,,False
22,climate,climate,security_present,,,,,False
22,climate,climate,policy_present,,,,,False
22,climate,climate,scientific_present,yes,yes,yes,yes,True
22,climate,climate,crisis_present,yes,yes,yes,yes,True
22,climate,climate,solutions_present,yes,yes,yes,yes,True
22,climate,climate,victim_present,no,no,no,no,True
22,climate,climate,skepticism_present,no,no,no,no,True
23,climate,climate,conflict_present,no,yes,no,yes,True
23,climate,climate,human_interest_present,no,no,no,no,True
23,climate,climate,economic_present,yes,yes,yes,yes,True
23,climate,climate,deservingness_present,no,no,no,no,True
23,climate,climate,responsibility_present,yes,yes,yes,yes,True
23,climate,climate,securitization_present,yes,yes,yes,yes,True
23,climate,climate,othering_present,no,no,no,no,True
23,climate,climate,agency_present,yes,yes,yes,yes,True
23,climate,climate,humanitarian_present,yes,,yes,,False
23,climate,climate,security_present,yes,,yes,,False
23,climate,climate,policy_present,yes,,yes,,False
23,climate,climate,scientific_present,yes,yes,yes,yes,True
23,climate,climate,crisis_present,yes,yes,yes,yes,True
23,climate,climate,solutions_present,no,yes,no,yes,True
23,climate,climate,victim_present,yes,yes,yes,yes,True
23,climate,climate,skepticism_present,no,no,no,no,True
24,climate,climate,conflict_present,yes,yes,yes,yes,True
24,climate,climate,human_interest_present,no,yes,no,yes,True
24,climate,climate,economic_present,yes,yes,yes,yes,True
24,climate,climate,deservingness_present,no,yes,no,yes,True
24,climate,climate,responsibility_present,yes,yes,yes,yes,True
24,climate,climate,securitization_present,no,no,no,no,True
24,climate,climate,othering_present,no,yes,no,yes,True
24,climate,climate,agency_present,yes,yes,yes,yes,True
24,climate,climate,humanitarian_present,,,,,False
24,climate,climate,security_present,,,,,False
24,climate,climate,policy_present,,,,,False
24,climate,climate,scientific_present,no,yes,no,yes,True
24,climate,climate,crisis_present,yes,yes,yes,yes,True
24,climate,climate,solutions_present,yes,yes,yes,yes,True
24,climate,climate,victim_present,no,yes,no,yes,True
24,climate,climate,skepticism_present,no,no,no,no,True
25,climate,climate,conflict_present,yes,yes,yes,yes,True
25,climate,climate,human_interest_present,no,no,no,no,True
25,climate,climate,economic_present,yes,yes,yes,yes,True
25,climate,climate,deservingness_present,no,no,no,no,True
25,climate,climate,responsibility_present,yes,yes,yes,yes,True
25,climate,climate,securitization_present,yes,yes,yes,yes,True
25,climate,climate,othering_present,no,no,no,no,True
25,climate,climate,agency_present,yes,yes,yes,yes,True
25,climate,climate,humanitarian_present,,,,,False
25,climate,climate,security_present,,,,,False
25,climate,climate,policy_present,,,,,False
25,climate,climate,scientific_present,no,no,no,no,True
25,climate,climate,crisis_present,no,yes,no,yes,True
25,climate,climate,solutions_present,yes,yes,yes,yes,True
25,climate,climate,victim_present,no,no,no,no,True
25,climate,climate,skepticism_present,no,no,no,no,True
25,migration,climate,conflict_present,no,yes,no,yes,True
25,migration,climate,human_interest_present,yes,no,yes,no,True
25,migration,climate,economic_present,no,yes,no,yes,True
25,migration,climate,deservingness_present,yes,no,yes,no,True
25,migration,climate,responsibility_present,yes,yes,yes,yes,True
25,migration,climate,securitization_present,no,yes,no,yes,True
25,migration,climate,othering_present,no,no,no,no,True
25,migration,climate,agency_present,yes,yes,yes,yes,True
25,migration,climate,humanitarian_present,yes,,yes,,False
25,migration,climate,security_present,no,,no,,False
25,migration,climate,policy_present,yes,,yes,,False
25,migration,climate,scientific_present,,no,,no,True
25,migration,climate,crisis_present,,yes,,yes,True
25,migration,climate,solutions_present,,yes,,yes,True
25,migration,climate,victim_present,,no,,no,True
25,migration,climate,skepticism_present,,no,,no,True
26,migration,migration,conflict_present,yes,no,yes,no,True
26,migration,migration,human_interest_present,yes,yes,yes,yes,True
26,migration,migration,economic_present,no,no,no,no,True
26,migration,migration,deservingness_present,no,no,no,no,True
26,migration,migration,responsibility_present,yes,yes,yes,yes,True
26,migration,migration,securitization_present,no,no,no,no,True
26,migration,migration,othering_present,yes,yes,yes,yes,True
26,migration,migration,agency_present,yes,yes,yes,yes,True
26,migration,migration,humanitarian_present,no,yes,no,yes,True
26,migration,migration,security_present,yes,no,yes,no,True
26,migration,migration,policy_present,no,yes,no,yes,True
26,migration,migration,scientific_present,,,,,False
26,migration,migration,crisis_present,,,,,False
26,migration,migration,solutions_present,,,,,False
26,migration,migration,victim_present,,,,,False
26,migration,migration,skepticism_present,,,,,False
27,migration,migration,conflict_present,yes,yes,yes,yes,True
27,migration,migration,human_interest_present,yes,yes,yes,yes,True
27,migration,migration,economic_present,yes,yes,yes,yes,True
27,migration,migration,deservingness_present,no,no,no,no,True
27,migration,migration,responsibility_present,yes,yes,yes,yes,True
27,migration,migration,securitization_present,no,no,no,no,True
27,migration,migration,othering_present,yes,yes,yes,yes,True
27,migration,migration,agency_present,yes,yes,yes,yes,True
27,migration,migration,humanitarian_present,no,no,no,no,True
27,migration,migration,security_present,no,yes,no,yes,True
27,migration,migration,policy_present,no,yes,no,yes,True
27,migration,migration,scientific_present,,,,,False
27,migration,migration,crisis_present,,,,,False
27,migration,migration,solutions_present,,,,,False
27,migration,migration,victim_present,,,,,False
27,migration,migration,skepticism_present,,,,,False
29,migration,migration,conflict_present,no,yes,no,yes,True
29,migration,migration,human_interest_present,no,no,no,no,True
29,migration,migration,economic_present,no,no,no,no,True
29,migration,migration,deservingness_present,no,no,no,no,True
29,migration,migration,responsibility_present,yes,yes,yes,yes,True
29,migration,migration,securitization_present,no,no,no,no,True
29,migration,migration,othering_present,no,yes,no,yes,True
29,migration,migration,agency_present,yes,yes,yes,yes,True
29,migration,migration,humanitarian_present,no,no,no,no,True
29,migration,migration,security_present,no,no,no,no,True
29,migration,migration,policy_present,yes,yes,yes,yes,True
29,migration,migration,scientific_present,,,,,False
29,migration,migration,crisis_present,,,,,False
29,migration,migration,solutions_present,,,,,False
29,migration,migration,victim_present,,,,,False
29,migration,migration,skepticism_present,,,,,False
30,migration,migration,conflict_present,no,yes,no,yes,True
30,migration,migration,human_interest_present,yes,yes,yes,yes,True
30,migration,migration,economic_present,no,no,no,no,True
30,migration,migration,deservingness_present,no,yes,no,yes,True
30,migration,migration,responsibility_present,yes,yes,yes,yes,True
30,migration,migration,securitization_present,no,no,no,no,True
30,migration,migration,othering_present,no,yes,no,yes,True
30,migration,migration,agency_present,yes,yes,yes,yes,True
30,migration,migration,humanitarian_present,yes,yes,yes,yes,True
30,migration,migration,security_present,no,no,no,no,True
30,migration,migration,policy_present,no,no,no,no,True
30,migration,migration,scientific_present,,,,,False
30,migration,migration,crisis_present,,,,,False
30,migration,migration,solutions_present,,,,,False
30,migration,migration,victim_present,,,,,False
30,migration,migration,skepticism_present,,,,,False
31,migration,migration,conflict_present,yes,yes,yes,yes,True
31,migration,migration,human_interest_present,yes,no,yes,no,True
31,migration,migration,economic_present,yes,yes,yes,yes,True
31,migration,migration,deservingness_present,yes,yes,yes,yes,True
31,migration,migration,responsibility_present,yes,yes,yes,yes,True
31,migration,migration,securitization_present,no,no,no,no,True
31,migration,migration,othering_present,yes,yes,yes,yes,True
31,migration,migration,agency_present,yes,yes,yes,yes,True
31,migration,migration,humanitarian_present,no,no,no,no,True
31,migration,migration,security_present,no,yes,no,yes,True
31,migration,migration,policy_present,yes,yes,yes,yes,True
31,migration,migration,scientific_present,,,,,False
31,migration,migration,crisis_present,,,,,False
31,migration,migration,solutions_present,,,,,False
31,migration,migration,victim_present,,,,,False
31,migration,migration,skepticism_present,,,,,False
32,migration,migration,conflict_present,yes,yes,yes,yes,True
32,migration,migration,human_interest_present,no,no,no,no,True
32,migration,migration,economic_present,no,no,no,no,True
32,migration,migration,deservingness_present,no,no,no,no,True
32,migration,migration,responsibility_present,yes,yes,yes,yes,True
32,migration,migration,securitization_present,no,no,no,no,True
32,migration,migration,othering_present,no,yes,no,yes,True
32,migration,migration,agency_present,yes,yes,yes,yes,True
32,migration,migration,humanitarian_present,no,no,no,no,True
32,migration,migration,security_present,no,no,no,no,True
32,migration,migration,policy_present,yes,yes,yes,yes,True
32,migration,migration,scientific_present,,,,,False
32,migration,migration,crisis_present,,,,,False
32,migration,migration,solutions_present,,,,,False
32,migration,migration,victim_present,,,,,False
32,migration,migration,skepticism_present,,,,,False
33,migration,migration,conflict_present,no,yes,no,yes,True
33,migration,migration,human_interest_present,yes,yes,yes,yes,True
33,migration,migration,economic_present,no,no,no,no,True
33,migration,migration,deservingness_present,yes,yes,yes,yes,True
33,migration,migration,responsibility_present,yes,yes,yes,yes,True
33,migration,migration,securitization_present,no,no,no,no,True
33,migration,migration,othering_present,no,yes,no,yes,True
33,migration,migration,agency_present,yes,yes,yes,yes,True
33,migration,migration,humanitarian_present,yes,yes,yes,yes,True
33,migration,migration,security_present,no,no,no,no,True
33,migration,migration,policy_present,yes,yes,yes,yes,True
33,migration,migration,scientific_present,,,,,False
33,migration,migration,crisis_present,,,,,False
33,migration,migration,solutions_present,,,,,False
33,migration,migration,victim_present,,,,,False
33,migration,migration,skepticism_present,,,,,False
34,migration,migration,conflict_present,yes,yes,yes,yes,True
34,migration,migration,human_interest_present,no,no,no,no,True
34,migration,migration,economic_present,no,no,no,no,True
34,migration,migration,deservingness_present,yes,yes,yes,yes,True
34,migration,migration,responsibility_present,yes,yes,yes,yes,True
34,migration,migration,securitization_present,no,no,no,no,True
34,migration,migration,othering_present,yes,yes,yes,yes,True
34,migration,migration,agency_present,yes,yes,yes,yes,True
34,migration,migration,humanitarian_present,no,no,no,no,True
34,migration,migration,security_present,yes,yes,yes,yes,True
34,migration,migration,policy_present,yes,yes,yes,yes,True
34,migration,migration,scientific_present,,,,,False
34,migration,migration,crisis_present,,,,,False
34,migration,migration,solutions_present,,,,,False
34,migration,migration,victim_present,,,,,False
34,migration,migration,skepticism_present,,,,,False
