benchmark_idx,corpus_type,pass,prompt_tokens,completion_tokens,cost_usd
29,migration,pass4,1880,1033,0.015030000000000002
30,migration,pass1,2340,1476,0.02061
30,migration,pass2,1687,989,0.014107500000000002
30,migration,pass4,2328,1130,0.017120000000000003
31,migration,pass1,3569,1556,0.0244825
31,migration,pass2,2916,938,0.01667
31,migration,pass4,3557,1067,0.019562500000000003
32,migration,pass1,1764,1465,0.01906
32,migration,pass2,1111,960,0.012377500000000001
32,migration,pass4,1752,1075,0.015130000000000001
33,migration,pass1,2306,1537,0.021135
33,migration,pass2,1653,997,0.014102500000000002
33,migration,pass4,2294,1039,0.016125
34,migration,pass1,1893,1587,0.020602500000000003
34,migration,pass2,1240,1007,0.013170000000000001
34,migration,pass4,1881,1152,0.0162225
35,migration,pass1,1943,1519,0.020047500000000003
35,migration,pass2,1290,1017,0.013395
35,migration,pass4,1931,1088,0.0157075
36,migration,pass1,1716,1535,0.01964
36,migration,pass2,1063,969,0.0123475
36,migration,pass4,1704,1073,0.014990000000000003
37,migration,pass1,2457,1564,0.021782500000000003
37,migration,pass2,1804,963,0.014140000000000002
37,migration,pass4,2445,1070,0.0168125
38,migration,pass1,2292,1445,0.020180000000000003
38,migration,pass2,1639,968,0.013777500000000002
38,migration,pass4,2280,1093,0.01663
39,migration,pass1,3354,1512,0.023505
39,migration,pass2,2701,1010,0.016852500000000003
39,migration,pass4,3342,1108,0.019435
40,migration,pass1,1886,1509,0.019805000000000003
40,migration,pass2,1233,1022,0.013302500000000002
40,migration,pass4,1874,1107,0.015755
41,migration,pass1,2106,1569,0.020955
41,migration,pass2,1453,1064,0.0142725
41,migration,pass4,2094,1116,0.016395
42,migration,pass1,2458,1480,0.020945000000000002
42,migration,pass2,1805,979,0.0143025
42,migration,pass4,2446,1045,0.016565000000000003
43,migration,pass1,1829,1496,0.0195325
43,migration,pass2,1176,985,0.012790000000000001
43,migration,pass4,1817,1121,0.015752500000000003
44,migration,pass1,1720,1591,0.02021
44,migration,pass2,1067,985,0.0125175
44,migration,pass4,1708,1075,0.015020000000000002
45,migration,pass1,2299,1476,0.0205075
45,migration,pass2,1646,985,0.013965000000000002
45,migration,pass4,2287,1057,0.016287500000000003
46,migration,pass1,2598,1513,0.021625000000000002
46,migration,pass2,1945,950,0.014362500000000002
46,migration,pass4,2586,1050,0.016965
47,migration,pass1,2004,1600,0.02101
47,migration,pass2,1351,947,0.012847500000000001
47,migration,pass4,1992,1052,0.015500000000000002
48,migration,pass1,1690,1485,0.019075
48,migration,pass2,1037,941,0.0120025
48,migration,pass4,1678,1033,0.014525
49,migration,pass1,2264,1542,0.02108
49,migration,pass2,1611,967,0.013697500000000001
49,migration,pass4,2252,982,0.015450000000000002
50,migration,pass1,1901,1531,0.0200625
50,migration,pass2,1248,1003,0.013150000000000002
50,migration,pass4,1889,1099,0.0157125
51,migration,pass1,2041,1500,0.020102500000000002
51,migration,pass2,1388,971,0.013180000000000002
51,migration,pass4,2029,1058,0.0156525
52,migration,pass1,1968,1522,0.02014
52,migration,pass2,1315,963,0.012917500000000002
52,migration,pass4,1956,1084,0.01573
53,migration,pass1,4417,1529,0.026332500000000002
53,migration,pass2,3764,970,0.019110000000000002
53,migration,pass4,4405,1105,0.022062500000000002
54,migration,pass1,1587,1444,0.0184075
54,migration,pass2,934,936,0.011695
54,migration,pass4,1575,1027,0.014207500000000001
55,migration,pass1,3897,1637,0.026112500000000004
55,migration,pass2,3244,975,0.01786
55,migration,pass4,3885,1042,0.0201325
56,migration,pass1,3519,1469,0.0234875
56,migration,pass2,2866,950,0.016665000000000003
56,migration,pass4,3507,1063,0.0193975
57,migration,pass1,1749,1478,0.019152500000000003
57,migration,pass2,1096,985,0.01259
57,migration,pass4,1737,1089,0.0152325
58,migration,pass1,2320,1524,0.021040000000000003
58,migration,pass2,1667,999,0.0141575
58,migration,pass4,2308,971,0.015480000000000002
59,migration,pass1,3553,1548,0.024362500000000002
59,migration,pass2,2900,1008,0.01733
59,migration,pass4,3541,1030,0.019152500000000003
60,migration,pass1,2899,1539,0.0226375
60,migration,pass2,2246,991,0.015525
60,migration,pass4,2887,1156,0.018777500000000003
61,migration,pass1,2022,1486,0.019915000000000002
61,migration,pass2,1369,949,0.0129125
61,migration,pass4,2010,1015,0.015175000000000001
62,migration,pass1,1957,1460,0.019492500000000003
62,migration,pass2,1304,964,0.012900000000000002
62,migration,pass4,1945,1146,0.016322500000000004
63,migration,pass1,2913,1525,0.022532500000000004
63,migration,pass2,2260,959,0.015240000000000002
63,migration,pass4,2901,1053,0.0177825
64,migration,pass1,2124,1485,0.02016
64,migration,pass2,1471,999,0.0136675
64,migration,pass4,2112,1092,0.016200000000000003
65,migration,pass1,1736,1473,0.019070000000000004
65,migration,pass2,1083,993,0.012637500000000001
65,migration,pass4,1724,1033,0.01464
66,migration,pass1,2047,1485,0.0199675
66,migration,pass2,1394,947,0.012955000000000001
66,migration,pass4,2035,1018,0.015267500000000002
67,migration,pass1,1747,1499,0.019357500000000003
67,migration,pass2,1094,979,0.012525
67,migration,pass4,1735,1027,0.014607500000000002
68,migration,pass1,2217,1520,0.020742500000000004
68,migration,pass2,1564,978,0.01369
68,migration,pass4,2205,1128,0.016792500000000002
69,migration,pass1,1910,1561,0.020385
69,migration,pass2,1257,986,0.0130025
69,migration,pass4,1898,1019,0.014935
70,migration,pass1,1977,1572,0.0206625
70,migration,pass2,1324,938,0.012690000000000002
70,migration,pass4,1965,1138,0.0162925
71,migration,pass1,2044,1552,0.020630000000000003
71,migration,pass2,1391,1021,0.0136875
71,migration,pass4,2032,1076,0.01584
72,migration,pass1,1540,1459,0.01844
72,migration,pass2,887,954,0.011757500000000002
72,migration,pass4,1528,1033,0.014150000000000001
73,migration,pass1,1636,1456,0.018650000000000003
73,migration,pass2,983,990,0.0123575
73,migration,pass4,1624,1084,0.0149
74,migration,pass1,2093,1543,0.0206625
74,migration,pass2,1440,994,0.013540000000000002
74,migration,pass4,2081,1033,0.015532500000000001
75,migration,pass1,2173,1442,0.019852500000000002
75,migration,pass2,1520,991,0.01371
75,migration,pass4,2161,1018,0.015582500000000003
76,migration,pass1,1884,1499,0.019700000000000002
76,migration,pass2,1231,980,0.012877500000000002
76,migration,pass4,1872,1105,0.01573
77,migration,pass1,1529,1417,0.0179925
77,migration,pass2,876,933,0.011520000000000002
77,migration,pass4,1517,1027,0.014062500000000002
78,migration,pass1,1723,1462,0.0189275
78,migration,pass2,1070,974,0.012415
78,migration,pass4,1711,1065,0.014927500000000002
79,migration,pass1,2097,1496,0.0202025
79,migration,pass2,1444,1022,0.013830000000000002
79,migration,pass4,2085,1096,0.0161725
80,migration,pass1,2486,1530,0.021515000000000003
80,migration,pass2,1833,1045,0.0150325
80,migration,pass4,2474,1051,0.016695
81,migration,pass1,1891,1600,0.020727500000000003
81,migration,pass2,1238,984,0.012935000000000002
81,migration,pass4,1879,1060,0.0152975
82,migration,pass1,1892,1467,0.0194
82,migration,pass2,1239,961,0.0127075
82,migration,pass4,1880,1021,0.01491
83,migration,pass1,2485,1576,0.0219725
83,migration,pass2,1832,982,0.014400000000000001
83,migration,pass4,2473,1092,0.0171025
84,migration,pass1,1951,1508,0.019957500000000003
84,migration,pass2,1298,1011,0.013355
84,migration,pass4,1939,1062,0.015467500000000002
85,migration,pass1,2614,1502,0.021555
85,migration,pass2,1961,1023,0.015132500000000002
85,migration,pass4,2602,1087,0.017375
86,migration,pass1,1836,1512,0.019710000000000002
86,migration,pass2,1183,937,0.012327500000000002
86,migration,pass4,1824,1071,0.015270000000000002
87,migration,pass1,2239,1467,0.0202675
87,migration,pass2,1586,1002,0.013985000000000001
87,migration,pass4,2227,1045,0.0160175
88,migration,pass1,2583,1527,0.0217275
88,migration,pass2,1930,953,0.014355
88,migration,pass4,2571,1058,0.017007500000000002
89,migration,pass1,2702,1535,0.022105
89,migration,pass2,2049,1039,0.015512500000000002
89,migration,pass4,2690,1021,0.016935000000000002
90,migration,pass1,2459,1554,0.021687500000000002
90,migration,pass2,1806,1029,0.014805000000000002
90,migration,pass4,2447,1104,0.017157500000000003
91,migration,pass1,2003,1477,0.019777500000000003
91,migration,pass2,1350,955,0.012925000000000002
91,migration,pass4,1991,1142,0.016397500000000002
92,migration,pass1,1642,1558,0.019685
92,migration,pass2,989,1010,0.012572500000000002
92,migration,pass4,1630,1128,0.015355
93,migration,pass1,2422,1445,0.020505000000000002
93,migration,pass2,1769,932,0.013742500000000001
93,migration,pass4,2410,1105,0.017075
94,migration,pass1,2728,1481,0.021630000000000003
94,migration,pass2,2075,967,0.014857500000000003
94,migration,pass4,2716,1061,0.017400000000000002
95,migration,pass1,1818,1507,0.019615
95,migration,pass2,1165,967,0.012582500000000002
95,migration,pass4,1806,1058,0.015095
96,migration,pass1,2248,1591,0.02153
96,migration,pass2,1595,1041,0.0143975
96,migration,pass4,2236,1122,0.016810000000000002
97,migration,pass1,1879,1560,0.020297500000000003
97,migration,pass2,1226,945,0.012515
97,migration,pass4,1867,1123,0.015897500000000002
98,migration,pass1,2296,1639,0.022130000000000004
98,migration,pass2,1643,1011,0.014217500000000001
98,migration,pass4,2284,1092,0.016630000000000002
99,migration,pass1,2060,1509,0.02024
99,migration,pass2,1407,972,0.013237500000000001
99,migration,pass4,2048,1041,0.015530000000000002
100,climate,pass1,2771,1494,0.0218675
100,climate,pass3,2458,1460,0.020745000000000003
100,climate,pass4,2759,1161,0.018507500000000003
101,climate,pass1,2654,1490,0.021535000000000002
101,climate,pass3,2341,1487,0.0207225
101,climate,pass4,2642,1098,0.017585
102,climate,pass1,2321,1499,0.020792500000000002
102,climate,pass3,2008,1473,0.019750000000000004
102,climate,pass4,2309,1064,0.0164125
103,climate,pass1,2672,1472,0.021400000000000002
103,climate,pass3,2359,1416,0.020057500000000002
103,climate,pass4,2660,1087,0.01752
104,climate,pass1,2806,1522,0.022235
104,climate,pass3,2493,1438,0.0206125
104,climate,pass4,2794,1079,0.017775000000000003
105,climate,pass1,1749,1459,0.0189625
105,climate,pass3,1436,1478,0.01837
105,climate,pass4,1737,1048,0.014822500000000002
106,climate,pass1,2382,1486,0.020815
106,climate,pass3,2069,1378,0.0189525
106,climate,pass4,2370,1079,0.016715
107,climate,pass1,2423,1465,0.020707500000000004
107,climate,pass3,2110,1421,0.019485000000000002
107,climate,pass4,2411,1089,0.016917500000000002
108,climate,pass1,2511,1401,0.0202875
108,climate,pass3,2198,1457,0.020065000000000003
108,climate,pass4,2499,1056,0.016807500000000003
109,climate,pass1,2377,1496,0.0209025
109,climate,pass3,2064,1389,0.01905
109,climate,pass4,2365,1016,0.0160725
110,climate,pass1,3811,1572,0.025247500000000003
110,climate,pass3,3498,1415,0.022895000000000002
110,climate,pass4,3799,1019,0.019687500000000004
111,climate,pass1,4722,1546,0.027265000000000005
111,climate,pass3,4409,1404,0.0250625
111,climate,pass4,4710,1081,0.022585
112,climate,pass1,1786,1432,0.018785000000000003
112,climate,pass3,1473,1449,0.0181725
112,climate,pass4,1774,1061,0.015045000000000003
113,climate,pass1,1658,1434,0.018485
113,climate,pass3,1345,1368,0.017042500000000002
113,climate,pass4,1646,1045,0.014565000000000002
